contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType,expiration,daysToExpiration,T,midPrice,S,r,moneyness
AAPL251128C00260000,2025-11-26 20:13:13+00:00,260.0,18.83,18.55,18.85,1.6299992,9.476738,602.0,2314.0,0.998857579035063,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,18.700000000000003,278.010009765625,0.03752999782562256,1.069269268329327
AAPL251128C00262500,2025-11-26 18:26:10+00:00,262.5,16.31,15.55,16.35,0.8399992,5.429859,73.0,567.0,0.787698633527506,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,15.950000000000001,278.010009765625,0.03752999782562256,1.0590857514880951
AAPL251128C00265000,2025-11-26 20:16:06+00:00,265.0,13.87,13.65,13.85,1.5199995,12.307688,1178.0,4726.0,0.8009473175964706,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,13.75,278.010009765625,0.03752999782562256,1.0490943764740566
AAPL251128C00267500,2025-11-26 20:14:34+00:00,267.5,11.3,11.15,11.3,0.9499998,9.178742,186.0,2020.0,0.6807589322825921,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,11.225000000000001,278.010009765625,0.03752999782562256,1.0392897561331775
AAPL251128C00270000,2025-11-26 20:17:39+00:00,270.0,8.8,8.4,8.85,1.4900002,20.383041,1753.0,9254.0,0.5362181197081444,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,8.625,278.010009765625,0.03752999782562256,1.029666702835648
AAPL251128C00272500,2025-11-26 20:10:46+00:00,272.5,6.46,6.2,6.4,1.4099998,27.920788,3744.0,8488.0,0.4635221824974732,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,6.300000000000001,278.010009765625,0.03752999782562256,1.0202202193233945
AAPL251128C00275000,2025-11-26 20:17:10+00:00,275.0,3.9,3.8,4.0,0.83000016,27.035835,4481.0,19793.0,0.3514800740983504,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,3.9,278.010009765625,0.03752999782562256,1.0109454900568182
AAPL251128C00277500,2025-11-26 20:17:30+00:00,277.5,1.87,1.85,1.9,0.32000005,20.645164,40625.0,29739.0,0.27437106497732583,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,1.875,278.010009765625,0.03752999782562256,1.0018378730292792
AAPL251128C00280000,2025-11-26 20:18:02+00:00,280.0,0.55,0.55,0.56,-0.07999998,-12.12121,107547.0,60119.0,0.2245897705908845,False,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,0.555,278.010009765625,0.03752999782562256,0.9928928920200892
AAPL251128C00282500,2025-11-26 20:17:47+00:00,282.5,0.13,0.12,0.13,-0.09,-40.909092,57492.0,50250.0,0.2208890856835365,False,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,0.125,278.010009765625,0.03752999782562256,0.9841062292588496
AAPL251128C00285000,2025-11-26 20:18:07+00:00,285.0,0.03,0.03,0.04,-0.049999997,-62.499996,31429.0,26207.0,0.242718478987387,False,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,0.035,278.010009765625,0.03752999782562256,0.9754737184758772
