contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType,expiration,daysToExpiration,T,midPrice,S,r,moneyness
GOOGL251128C00317500,2025-11-26 20:16:34+00:00,317.5,3.4,3.2,3.3,-4.45,-56.687897,9319.0,5657,0.2377184420212248,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,3.25,320.1199951171875,0.03752999782562256,1.008251953125
GOOGL251128C00320000,2025-11-26 20:17:57+00:00,320.0,1.98,1.95,1.98,-4.09,-67.38056,31335.0,12561,0.28244472724913394,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,1.9649999999999999,320.1199951171875,0.03752999782562256,1.000374984741211
GOOGL251128C00322500,2025-11-26 20:18:16+00:00,322.5,1.06,1.03,1.06,-3.4900002,-76.7033,23593.0,8458,0.2986374311369764,False,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,1.045,320.1199951171875,0.03752999782562256,0.9926201398982558
GOOGL251128C00325000,2025-11-26 20:18:00+00:00,325.0,0.55,0.55,0.56,-2.8,-83.08606,37363.0,8120,0.3221230939823039,False,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,0.555,320.1199951171875,0.03752999782562256,0.9849846003605769
GOOGL251128C00327500,2025-11-26 20:18:04+00:00,327.5,0.27,0.27,0.28,-2.1100001,-88.28452,8768.0,9307,0.33946047193407236,False,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,0.275,320.1199951171875,0.03752999782562256,0.9774656339456107
GOOGL251128C00330000,2025-11-26 20:18:04+00:00,330.0,0.15,0.14,0.15,-1.48,-91.358025,22582.0,13976,0.36277544691068053,False,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,0.14500000000000002,320.1199951171875,0.03752999782562256,0.9700605912642045
GOOGL251128C00332500,2025-11-26 20:15:14+00:00,332.5,0.08,0.08,0.09,-1.05,-92.92035,5508.0,2122,0.39166922261105347,False,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,0.08499999999999999,320.1199951171875,0.03752999782562256,0.9627669026080827
GOOGL251128C00335000,2025-11-26 20:10:20+00:00,335.0,0.06,0.05,0.06,-0.71999997,-92.30769,5000.0,4351,0.42399417319590804,False,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,0.055,320.1199951171875,0.03752999782562256,0.9555820749766791
GOOGL251128C00337500,2025-11-26 20:16:14+00:00,337.5,0.03,0.03,0.05,-0.49999997,-92.59259,2149.0,1755,0.4606199550103124,False,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,0.04,320.1199951171875,0.03752999782562256,0.9485036892361111
GOOGL251128C00340000,2025-11-26 20:14:46+00:00,340.0,0.04,0.03,0.04,-0.34,-91.89189,18786.0,6093,0.5063478363436406,False,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,0.035,320.1199951171875,0.03752999782562256,0.9415293974034926
GOOGL251128C00342500,2025-11-26 20:10:11+00:00,342.5,0.03,0.02,0.03,-0.24000001,-92.307686,1346.0,791,0.5362810866540413,False,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,0.025,320.1199951171875,0.03752999782562256,0.9346569200501825
GOOGL251128P00297500,2025-11-26 20:07:27+00:00,297.5,0.06,0.05,0.06,-0.09,-59.999996,535.0,1627,0.6452407832827589,False,REGULAR,USD,put,2025-11-28,1,0.0027397260273972603,0.055,320.1199951171875,0.03752999782562256,1.076033597032563
GOOGL251128P00300000,2025-11-26 20:16:16+00:00,300.0,0.06,0.06,0.07,-0.120000005,-66.666664,4696.0,9045,0.5955648253735956,False,REGULAR,USD,put,2025-11-28,1,0.0027397260273972603,0.065,320.1199951171875,0.03752999782562256,1.067066650390625
GOOGL251128P00302500,2025-11-26 20:12:48+00:00,302.5,0.08,0.06,0.08,-0.16,-66.66667,2142.0,2146,0.5360789708993944,False,REGULAR,USD,put,2025-11-28,1,0.0027397260273972603,0.07,320.1199951171875,0.03752999782562256,1.0582479177427686
GOOGL251128P00305000,2025-11-26 20:13:08+00:00,305.0,0.09,0.08,0.1,-0.22,-70.96774,6569.0,5421,0.4892730970768701,False,REGULAR,USD,put,2025-11-28,1,0.0027397260273972603,0.09,320.1199951171875,0.03752999782562256,1.049573754482582
GOOGL251128P00307500,2025-11-26 20:14:42+00:00,307.5,0.11,0.11,0.13,-0.3,-73.17073,2888.0,2196,0.4423800528797851,False,REGULAR,USD,put,2025-11-28,1,0.0027397260273972603,0.12,320.1199951171875,0.03752999782562256,1.041040634527439
GOOGL251128P00310000,2025-11-26 20:16:52+00:00,310.0,0.19,0.19,0.2,-0.38,-66.666664,17230.0,9147,0.4088911729952856,False,REGULAR,USD,put,2025-11-28,1,0.0027397260273972603,0.195,320.1199951171875,0.03752999782562256,1.0326451455393144
GOOGL251128P00312500,2025-11-26 20:18:00+00:00,312.5,0.37,0.36,0.37,-0.44,-54.320988,8970.0,4269,0.3874440494899585,False,REGULAR,USD,put,2025-11-28,1,0.0027397260273972603,0.365,320.1199951171875,0.03752999782562256,1.024383984375
GOOGL251128P00315000,2025-11-26 20:17:36+00:00,315.0,0.75,0.73,0.77,-0.42999995,-36.440678,28370.0,10864,0.3824595416138241,False,REGULAR,USD,put,2025-11-28,1,0.0027397260273972603,0.75,320.1199951171875,0.03752999782562256,1.0162539527529761
GOOGL251128P00317500,2025-11-26 20:17:03+00:00,317.5,1.42,1.44,1.47,-0.2700001,-15.9763365,14564.0,3261,0.3854957382316862,False,REGULAR,USD,put,2025-11-28,1,0.0027397260273972603,1.455,320.1199951171875,0.03752999782562256,1.008251953125
GOOGL251128P00320000,2025-11-26 20:17:58+00:00,320.0,2.61,2.58,2.64,0.18999982,7.8512316,18591.0,10179,0.40188499880169687,False,REGULAR,USD,put,2025-11-28,1,0.0027397260273972603,2.6100000000000003,320.1199951171875,0.03752999782562256,1.000374984741211
GOOGL251128P00322500,2025-11-26 20:08:59+00:00,322.5,4.64,4.15,4.3,1.2399998,36.47058,4381.0,1839,0.4325322562703531,True,REGULAR,USD,put,2025-11-28,1,0.0027397260273972603,4.225,320.1199951171875,0.03752999782562256,0.9926201398982558
GOOGL251128P00325000,2025-11-26 20:11:25+00:00,325.0,6.43,6.15,6.3,1.8299999,39.782608,4111.0,2459,0.48130821000878815,True,REGULAR,USD,put,2025-11-28,1,0.0027397260273972603,6.225,320.1199951171875,0.03752999782562256,0.9849846003605769
GOOGL251128P00327500,2025-11-26 20:11:25+00:00,327.5,8.7,8.4,8.55,2.9499998,51.304344,172.0,792,0.5469068242272435,True,REGULAR,USD,put,2025-11-28,1,0.0027397260273972603,8.475000000000001,320.1199951171875,0.03752999782562256,0.9774656339456107
GOOGL251128P00330000,2025-11-26 20:15:07+00:00,330.0,10.7,10.7,10.9,1.21,12.750264,260.0,741,0.6104110197841336,True,REGULAR,USD,put,2025-11-28,1,0.0027397260273972603,10.8,320.1199951171875,0.03752999782562256,0.9700605912642045
GOOGL251128P00332500,2025-11-26 19:19:53+00:00,332.5,13.5,13.2,13.35,1.8900003,16.279074,28.0,304,0.698509255263752,True,REGULAR,USD,put,2025-11-28,1,0.0027397260273972603,13.274999999999999,320.1199951171875,0.03752999782562256,0.9627669026080827
GOOGL251128P00335000,2025-11-26 20:00:19+00:00,335.0,15.9,15.45,16.2,4.299999,37.06896,707.0,2349,0.8015239862462499,True,REGULAR,USD,put,2025-11-28,1,0.0027397260273972603,15.825,320.1199951171875,0.03752999782562256,0.9555820749766791
GOOGL251128P00337500,2025-11-26 17:55:21+00:00,337.5,19.3,18.25,18.45,3.6999989,23.71794,8.0,51,0.8956206697524856,True,REGULAR,USD,put,2025-11-28,1,0.0027397260273972603,18.35,320.1199951171875,0.03752999782562256,0.9485036892361111
GOOGL251128P00340000,2025-11-26 17:23:49+00:00,340.0,21.19,20.65,20.8,2.6900005,14.540544,7.0,37,0.943258928772961,True,REGULAR,USD,put,2025-11-28,1,0.0027397260273972603,20.725,320.1199951171875,0.03752999782562256,0.9415293974034926
