contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType,expiration,daysToExpiration,T,midPrice,S,r,moneyness
META251128C00590000,2025-11-26 20:03:01+00:00,590.0,44.3,44.65,44.95,-2.5499992,-5.4429016,150.0,1673,0.8560272740445387,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,44.8,634.1199951171875,0.03752999782562256,1.0747796527409959
META251128C00592500,2025-11-26 20:03:01+00:00,592.5,41.82,41.95,42.35,-0.42000198,-0.99432284,123.0,464,0.7709138453343649,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,42.150000000000006,634.1199951171875,0.03752999782562256,1.0702447174973628
META251128C00595000,2025-11-26 19:55:54+00:00,595.0,39.26,39.5,39.85,-2.4900017,-5.964076,40.0,2347,0.7396827396779727,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,39.675,634.1199951171875,0.03752999782562256,1.0657478909532563
META251128C00597500,2025-11-26 19:39:57+00:00,597.5,36.84,37.1,37.4,-2.5600014,-6.4974647,99.0,798,0.7213682855591176,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,37.25,634.1199951171875,0.03752999782562256,1.0612886947567992
META251128C00600000,2025-11-26 20:17:31+00:00,600.0,34.82,34.65,34.95,-2.119999,-5.7390337,421.0,3779,0.6937180452109984,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,34.8,634.1199951171875,0.03752999782562256,1.056866658528646
META251128C00602500,2025-11-26 20:05:36+00:00,602.5,31.58,32.0,32.4,-2.4899998,-7.3084817,41.0,888,0.6276331680334757,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,32.2,634.1199951171875,0.03752999782562256,1.0524813196965768
META251128C00605000,2025-11-26 20:14:00+00:00,605.0,29.45,29.65,29.95,-2.5499992,-7.9687476,162.0,2257,0.6111975982833111,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,29.799999999999997,634.1199951171875,0.03752999782562256,1.0481322233341943
META251128C00607500,2025-11-26 20:10:11+00:00,607.5,26.83,27.2,27.5,-3.3700008,-11.158943,107.0,1288,0.5801579842949495,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,27.35,634.1199951171875,0.03752999782562256,1.0438189220036007
META251128C00610000,2025-11-26 20:15:02+00:00,610.0,24.71,24.7,25.05,-2.3400002,-8.650648,339.0,4055,0.5424471941410869,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,24.875,634.1199951171875,0.03752999782562256,1.0395409756019467
META251128C00612500,2025-11-26 19:58:40+00:00,612.5,21.92,22.05,22.4,-3.08,-12.32,150.0,841,0.4694405143026829,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,22.225,634.1199951171875,0.03752999782562256,1.0352979512117346
META251128C00615000,2025-11-26 19:56:38+00:00,615.0,19.34,19.6,20.0,-2.8099995,-12.686228,851.0,2745,0.4414388260212228,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,19.8,634.1199951171875,0.03752999782562256,1.0310894229547765
META251128C00617500,2025-11-26 20:09:43+00:00,617.5,16.65,17.3,17.6,-3.2000008,-16.120909,164.0,1464,0.4223627967434558,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,17.450000000000003,634.1199951171875,0.03752999782562256,1.0269149718496964
META251128C00620000,2025-11-26 20:17:39+00:00,620.0,15.0,14.85,15.1,-2.7999992,-15.730334,2475.0,4650,0.3795366062054941,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,14.975,634.1199951171875,0.03752999782562256,1.0227741856728831
META251128C00622500,2025-11-26 20:10:45+00:00,622.5,12.3,12.4,12.7,-3.13,-20.285158,556.0,1190,0.34152867971860884,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,12.55,634.1199951171875,0.03752999782562256,1.018666658822791
META251128C00625000,2025-11-26 20:15:38+00:00,625.0,10.19,10.25,10.55,-3.3100004,-24.51852,3118.0,4012,0.33091374725357886,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,10.4,634.1199951171875,0.03752999782562256,1.0145919921875
