contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType,expiration,daysToExpiration,T,midPrice,S,r,moneyness
NVDA251128C00170000,2025-11-26 20:17:38+00:00,170.0,10.71,10.65,10.75,2.1099997,24.53488,19791.0,25830.0,0.9143740970611762,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,10.7,180.23500061035156,0.03752999782562256,1.0602058859432444
NVDA251128C00172500,2025-11-26 20:17:21+00:00,172.5,8.28,8.2,8.3,1.8399997,28.571424,4213.0,9916.0,0.7704272463519467,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,8.25,180.23500061035156,0.03752999782562256,1.044840583248415
NVDA251128C00175000,2025-11-26 20:17:47+00:00,175.0,5.95,5.85,5.9,1.4399996,31.929035,27774.0,20332.0,0.6422658674054874,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,5.875,180.23500061035156,0.03752999782562256,1.029914289202009
NVDA251128C00177500,2025-11-26 20:16:56+00:00,177.5,3.72,3.75,3.85,0.74,24.832214,25026.0,15365.0,0.575311108943727,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,3.8,180.23500061035156,0.03752999782562256,1.0154084541428257
NVDA251128C00180000,2025-11-26 20:18:24+00:00,180.0,2.01,2.0,2.01,0.22000003,12.290505,164909.0,61145.0,0.4986971573440686,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,2.005,180.23500061035156,0.03752999782562256,1.0013055589463975
NVDA251128C00182500,2025-11-26 20:17:38+00:00,182.5,0.88,0.86,0.88,-0.120000005,-12.0,192845.0,50177.0,0.46769978286050257,False,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,0.87,180.23500061035156,0.03752999782562256,0.9875890444402825
NVDA251128C00185000,2025-11-26 20:17:50+00:00,185.0,0.32,0.3,0.32,-0.19,-37.2549,176439.0,68539.0,0.4580707447778334,False,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,0.31,180.23500061035156,0.03752999782562256,0.9742432465424409
NVDA251128C00187500,2025-11-26 20:18:02+00:00,187.5,0.11,0.11,0.12,-0.16000001,-59.259262,61307.0,42105.0,0.4795623437890614,False,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,0.11499999999999999,180.23500061035156,0.03752999782562256,0.9612533365885416
NVDA251128C00190000,2025-11-26 20:18:11+00:00,190.0,0.05,0.05,0.06,-0.09,-64.28571,95690.0,110657.0,0.526823810716896,False,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,0.055,180.23500061035156,0.03752999782562256,0.9486052663702714
NVDA251128C00192500,2025-11-26 20:17:55+00:00,192.5,0.03,0.03,0.04,-0.060000002,-60.0,23677.0,43353.0,0.5915356693764723,False,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,0.035,180.23500061035156,0.03752999782562256,0.9362857174563718
NVDA251128P00170000,2025-11-26 20:18:24+00:00,170.0,0.1,0.09,0.1,-0.5,-84.74576,26160.0,32143.0,0.6397112555364634,False,REGULAR,USD,put,2025-11-28,1,0.0027397260273972603,0.095,180.23500061035156,0.03752999782562256,1.0602058859432444
NVDA251128P00172500,2025-11-26 20:17:49+00:00,172.5,0.14,0.13,0.14,-0.85,-85.85858,20599.0,22171.0,0.5458265055591889,False,REGULAR,USD,put,2025-11-28,1,0.0027397260273972603,0.135,180.23500061035156,0.03752999782562256,1.044840583248415
NVDA251128P00175000,2025-11-26 20:17:59+00:00,175.0,0.27,0.27,0.28,-1.34,-83.22981,77158.0,30396.0,0.48683861612237794,False,REGULAR,USD,put,2025-11-28,1,0.0027397260273972603,0.275,180.23500061035156,0.03752999782562256,1.029914289202009
NVDA251128P00177500,2025-11-26 20:17:47+00:00,177.5,0.62,0.62,0.63,-1.9399999,-75.78125,98358.0,14026.0,0.44145530586909604,False,REGULAR,USD,put,2025-11-28,1,0.0027397260273972603,0.625,180.23500061035156,0.03752999782562256,1.0154084541428257
NVDA251128P00180000,2025-11-26 20:17:47+00:00,180.0,1.38,1.38,1.4,-2.4699998,-64.15584,143802.0,22517.0,0.4023996999477068,False,REGULAR,USD,put,2025-11-28,1,0.0027397260273972603,1.39,180.23500061035156,0.03752999782562256,1.0013055589463975
NVDA251128P00182500,2025-11-26 20:17:49+00:00,182.5,2.72,2.71,2.73,-2.84,-51.079136,28063.0,14207.0,0.3431832570060702,True,REGULAR,USD,put,2025-11-28,1,0.0027397260273972603,2.7199999999999998,180.23500061035156,0.03752999782562256,0.9875890444402825
NVDA251205C00147000,2025-11-26 17:46:30+00:00,147.0,34.66,33.7,34.0,6.1100006,21.401054,6.0,0.0,0.8681289058606191,True,REGULAR,USD,call,2025-12-05,8,0.021917808219178082,33.85,180.23500061035156,0.03752999782562256,1.226088439526201
NVDA251205C00149000,2025-11-25 20:47:15+00:00,149.0,29.0,31.7,32.05,0.0,0.0,41.0,17.0,0.8296625216404947,True,REGULAR,USD,call,2025-12-05,8,0.021917808219178082,31.875,180.23500061035156,0.03752999782562256,1.2096308765795407
NVDA251205C00150000,2025-11-26 20:16:19+00:00,150.0,30.9,30.85,30.95,2.5499992,8.994706,1186.0,0.0,0.8143927336433838,True,REGULAR,USD,call,2025-12-05,8,0.021917808219178082,30.9,180.23500061035156,0.03752999782562256,1.2015666707356771
