contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType,expiration,daysToExpiration,T,midPrice,S,r,moneyness
SPY251128C00632000,2025-11-25 19:34:32+00:00,632.0,41.64,48.04,51.03,0.0,0.0,5.0,29,0.8316271887701655,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,49.535,680.9688720703125,0.03752999782562256,1.0774823925163173
SPY251128C00633000,2025-11-26 17:38:19+00:00,633.0,48.1,48.53,48.76,7.3099976,17.921053,2.0,145,0.849954138873481,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,48.644999999999996,680.9688720703125,0.03752999782562256,1.075780208641884
SPY251128C00634000,2025-11-26 16:44:22+00:00,634.0,47.73,46.28,48.99,11.720001,32.54652,3.0,39,0.8323458205658799,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,47.635000000000005,680.9688720703125,0.03752999782562256,1.0740833944326695
SPY251128C00635000,2025-11-26 19:00:48+00:00,635.0,45.66,46.58,46.79,5.16,12.740741,7.0,1502,0.8311292039532009,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,46.685,680.9688720703125,0.03752999782562256,1.0723919245201772
SPY251128C00636000,2025-11-26 19:51:51+00:00,636.0,44.94,45.66,45.76,11.68,35.11726,1.0,188,0.8226427432777982,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,45.709999999999994,680.9688720703125,0.03752999782562256,1.07070577369546
SPY251128C00637000,2025-11-25 16:56:15+00:00,637.0,35.33,44.62,44.79,0.0,0.0,2.0,175,0.8062850323872649,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,44.705,680.9688720703125,0.03752999782562256,1.069024916907869
SPY251128C00638000,2025-11-26 19:07:48+00:00,638.0,42.74,43.7,43.84,6.1200027,16.712187,2.0,105,0.8071584546225533,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,43.77,680.9688720703125,0.03752999782562256,1.0673493292638128
SPY251128C00639000,2025-11-25 16:16:07+00:00,639.0,30.68,41.33,44.04,0.0,0.0,5.0,80,0.7710694975500244,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,42.685,680.9688720703125,0.03752999782562256,1.0656789860255282
SPY251128C00640000,2025-11-26 19:53:53+00:00,640.0,41.06,41.58,41.79,6.380001,18.396774,6039.0,1711,0.755995789348086,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,41.685,680.9688720703125,0.03752999782562256,1.0640138626098632
SPY251128C00641000,2025-11-26 19:39:39+00:00,641.0,40.16,39.05,42.04,8.48,26.767675,1.0,77,0.7042683772974924,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,40.545,680.9688720703125,0.03752999782562256,1.062353934587071
SPY251128C00642000,2025-11-26 16:33:02+00:00,642.0,39.0,38.26,40.99,5.330002,15.830122,4.0,84,0.7108585064132092,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,39.625,680.9688720703125,0.03752999782562256,1.0606991776796144
SPY251128C00643000,2025-11-26 19:39:39+00:00,643.0,38.13,38.63,38.77,4.5300026,13.482151,36.0,329,0.7141713395460175,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,38.7,680.9688720703125,0.03752999782562256,1.0590495677609837
SPY251128C00644000,2025-11-26 19:53:09+00:00,644.0,37.1,37.59,37.8,6.659998,21.8791,17.0,637,0.6977649407388962,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,37.695,680.9688720703125,0.03752999782562256,1.0574050808545226
SPY251128C00645000,2025-11-26 19:57:25+00:00,645.0,36.01,36.59,36.8,5.919998,19.674305,14.0,2617,0.6825073931694914,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,36.695,680.9688720703125,0.03752999782562256,1.0557656931322674
SPY251128C00646000,2025-11-26 17:23:37+00:00,646.0,35.05,35.59,35.8,7.4699993,27.084843,40.0,220,0.6672141247187139,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,35.695,680.9688720703125,0.03752999782562256,1.0541313809137964
SPY251128C00647000,2025-11-26 17:31:13+00:00,647.0,34.27,34.6,34.81,12.630001,58.364147,5.0,136,0.6541060954345593,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,34.705,680.9688720703125,0.03752999782562256,1.0525021206650889
SPY251128C00648000,2025-11-26 14:59:23+00:00,648.0,29.66,33.59,33.83,3.67,14.120816,1.0,671,0.6397876962471191,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,33.71,680.9688720703125,0.03752999782562256,1.0508778889973958
SPY251128C00649000,2025-11-26 17:31:13+00:00,649.0,32.27,32.59,32.82,4.970001,18.205133,1.0,405,0.6232505205956086,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,32.705,680.9688720703125,0.03752999782562256,1.049258662666121
SPY251128C00650000,2025-11-26 19:56:35+00:00,650.0,30.92,31.59,31.85,4.5599995,17.298935,1142.0,7444,0.6109025801219429,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,31.72,680.9688720703125,0.03752999782562256,1.0476444185697116
