contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType,expiration,daysToExpiration,T,midPrice,S,r,moneyness
TSLA251128C00395000,2025-11-26 20:12:17+00:00,395.0,30.29,30.05,30.4,4.9400005,19.48718,2051.0,2576,0.7940952136789299,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,30.225,424.9150085449219,0.03752999782562256,1.0757341988479034
TSLA251128C00397500,2025-11-26 20:11:38+00:00,397.5,28.0,27.75,27.95,4.91,21.264616,1609.0,1263,0.795675624611149,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,27.85,424.9150085449219,0.03752999782562256,1.0689685749557782
TSLA251128C00400000,2025-11-26 20:17:30+00:00,400.0,25.46,25.15,25.35,4.8099995,23.292976,28674.0,8783,0.692456226355771,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,25.25,424.9150085449219,0.03752999782562256,1.0622875213623046
TSLA251128C00402500,2025-11-26 20:17:57+00:00,402.5,22.85,22.7,22.95,4.380001,23.714138,2694.0,4192,0.6654561206423097,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,22.825,424.9150085449219,0.03752999782562256,1.0556894622234083
TSLA251128C00405000,2025-11-26 20:17:43+00:00,405.0,20.39,20.3,20.5,3.8899994,23.575754,6492.0,7357,0.6311099326917602,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,20.4,424.9150085449219,0.03752999782562256,1.0491728606047455
TSLA251128C00407500,2025-11-26 20:15:37+00:00,407.5,17.89,17.8,18.0,3.5599995,24.842983,6802.0,6580,0.5681369893038347,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,17.9,424.9150085449219,0.03752999782562256,1.0427362172881518
TSLA251128C00410000,2025-11-26 20:18:01+00:00,410.0,15.47,15.4,15.65,3.2200003,26.285717,40314.0,12723,0.538195583630182,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,15.525,424.9150085449219,0.03752999782562256,1.0363780696217606
TSLA251128C00412500,2025-11-26 20:16:03+00:00,412.5,13.25,13.15,13.35,2.8500004,27.40385,6118.0,4702,0.5200473173767854,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,13.25,424.9150085449219,0.03752999782562256,1.030096990411932
TSLA251128C00415000,2025-11-26 20:18:07+00:00,415.0,11.07,11.0,11.15,2.2299995,24.999994,24511.0,12096,0.5044478594023127,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,11.075,424.9150085449219,0.03752999782562256,1.0238915868552334
TSLA251128C00417500,2025-11-26 20:17:31+00:00,417.5,9.14,9.05,9.2,1.7900004,24.353748,21144.0,6542,0.5041239009514489,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,9.125,424.9150085449219,0.03752999782562256,1.017760499508795
