contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType,expiration,daysToExpiration,T,midPrice,S,r,moneyness
AAPL251128C00110000,2025-11-26 19:51:56+00:00,110.0,168.25,168.65,168.95,2.0299988,1.2212722,1.0,12.0,5.246097192382813,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,168.8,278.010009765625,0.03752999782562256,2.5273637251420453
AAPL251128C00120000,2025-11-05 17:41:07+00:00,120.0,150.8,157.45,159.75,0.0,0.0,,6.0,4.574223032226563,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,158.6,278.010009765625,0.03752999782562256,2.316750081380208
AAPL251128C00125000,2025-11-26 17:55:06+00:00,125.0,153.85,152.4,154.8,8.080002,5.5429797,4.0,2.0,4.371098286132812,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,153.60000000000002,278.010009765625,0.03752999782562256,2.224080078125
AAPL251128C00130000,2025-11-06 15:22:28+00:00,130.0,141.01,147.45,149.75,0.0,0.0,,5.0,4.1757860302734375,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,148.6,278.010009765625,0.03752999782562256,2.138538536658654
AAPL251128C00135000,2025-11-26 15:29:49+00:00,135.0,142.25,142.4,144.55,-0.8899994,-0.6217685,2.0,4.0,3.843750390625,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,143.47500000000002,278.010009765625,0.03752999782562256,2.059333405671296
AAPL251128C00140000,2025-11-05 17:45:00+00:00,140.0,130.7,137.45,139.75,0.0,0.0,,8.0,3.8066411083984377,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,138.6,278.010009765625,0.03752999782562256,1.9857857840401785
AAPL251128C00145000,2025-11-24 19:12:33+00:00,145.0,131.03,132.4,134.8,0.0,0.0,1.0,3.0,3.630860297851563,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,133.60000000000002,278.010009765625,0.03752999782562256,1.9173104121767242
AAPL251128C00150000,2025-11-24 20:59:58+00:00,150.0,126.1,127.45,129.75,0.0,0.0,1.0,2.0,3.46093884765625,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,128.6,278.010009765625,0.03752999782562256,1.8534000651041667
AAPL251128C00155000,2025-11-25 19:22:52+00:00,155.0,123.69,122.4,124.85,0.0,0.0,2.0,4.0,3.3203141992187497,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,123.625,278.010009765625,0.03752999782562256,1.7936129662298388
AAPL251128C00160000,2025-11-26 14:33:16+00:00,160.0,118.14,117.45,119.8,-1.25,-1.0469888,1.0,11.0,3.1601583496093753,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,118.625,278.010009765625,0.03752999782562256,1.7375625610351562
