contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType,expiration,daysToExpiration,T,midPrice,S,r,moneyness
GOOGL251128C00100000,2025-11-25 16:50:07+00:00,100.0,223.15,217.5,220.3,3.4899902,1.5888146,1.0,7,5.195316005859375,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,218.9,320.1199951171875,0.03752999782562256,3.201199951171875
GOOGL251128C00105000,2025-11-03 20:59:17+00:00,105.0,179.15,212.45,215.3,0.0,0.0,,6,4.984378769531249,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,213.875,320.1199951171875,0.03752999782562256,3.0487618582589286
GOOGL251128C00110000,2025-11-25 16:50:07+00:00,110.0,209.74,207.45,210.3,0.0,0.0,1.0,6,4.785160268554687,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,208.875,320.1199951171875,0.03752999782562256,2.9101817737926137
GOOGL251128C00115000,2025-11-24 14:50:30+00:00,115.0,201.29,202.45,205.3,0.0,0.0,1.0,2,4.597660502929687,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,203.875,320.1199951171875,0.03752999782562256,2.7836521314538043
GOOGL251128C00120000,2025-11-24 18:41:52+00:00,120.0,197.28,197.45,200.3,0.0,0.0,1.0,4,4.414066982421874,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,198.875,320.1199951171875,0.03752999782562256,2.6676666259765627
GOOGL251128C00125000,2025-11-24 14:50:30+00:00,125.0,191.35,192.45,195.3,0.0,0.0,1.0,10,4.242192197265625,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,193.875,320.1199951171875,0.03752999782562256,2.5609599609375
GOOGL251128C00130000,2025-11-25 16:52:38+00:00,130.0,189.64,187.45,190.3,0.0,0.0,1.0,9,4.0781299023437505,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,188.875,320.1199951171875,0.03752999782562256,2.4624615009014423
GOOGL251128C00135000,2025-11-24 18:43:36+00:00,135.0,182.3,182.45,185.5,0.0,0.0,3.0,0,4.308598364257811,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,183.975,320.1199951171875,0.03752999782562256,2.3712592230902776
GOOGL251128C00140000,2025-11-25 16:52:38+00:00,140.0,179.7,177.45,180.3,0.0,0.0,1.0,9,3.761719345703125,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,178.875,320.1199951171875,0.03752999782562256,2.2865713936941963
GOOGL251128C00145000,2025-11-25 16:54:17+00:00,145.0,174.46,172.45,175.3,0.0,0.0,1.0,3,3.6132822167968754,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,173.875,320.1199951171875,0.03752999782562256,2.2077241042564655
GOOGL251128C00150000,2025-11-24 15:04:22+00:00,150.0,167.09,167.45,170.3,0.0,0.0,15.0,20,3.468751328125,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,168.875,320.1199951171875,0.03752999782562256,2.13413330078125
