contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType,expiration,daysToExpiration,T,midPrice,S,r,moneyness
MSFT251128C00270000,2025-11-25 17:34:40+00:00,270.0,207.05,215.4,218.5,0.0,0.0,11.0,64,3.5214855712890625,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,216.95,487.0150146484375,0.03752999782562256,1.8037593135127314
MSFT251128C00280000,2025-11-26 15:05:36+00:00,280.0,203.0,205.4,208.4,5.869995,2.977728,12.0,15,3.28906427734375,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,206.9,487.0150146484375,0.03752999782562256,1.7393393380301339
MSFT251128C00290000,2025-11-21 17:03:04+00:00,290.0,183.3,195.4,198.25,0.0,0.0,1.0,1,3.042971142578125,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,196.825,487.0150146484375,0.03752999782562256,1.6793621194773707
MSFT251128C00300000,2025-11-05 16:21:49+00:00,300.0,210.09,185.4,188.25,0.0,0.0,,0,2.8681668920898433,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,186.825,487.0150146484375,0.03752999782562256,1.6233833821614583
MSFT251128C00310000,2025-11-24 20:52:08+00:00,310.0,164.53,175.4,178.65,0.0,0.0,1.0,1,2.843752890625,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,177.025,487.0150146484375,0.03752999782562256,1.5710161762852823
MSFT251128C00320000,2025-11-20 20:36:03+00:00,320.0,158.4,165.45,168.35,0.0,0.0,4.0,4,2.5712926342773432,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,166.89999999999998,487.0150146484375,0.03752999782562256,1.5219219207763672
MSFT251128C00335000,2025-11-24 20:55:06+00:00,335.0,140.65,150.6,153.55,0.0,0.0,,2,1.40625296875,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,152.075,487.0150146484375,0.03752999782562256,1.4537761631296642
MSFT251128C00350000,2025-11-24 20:52:46+00:00,350.0,124.64,135.3,138.3,0.0,0.0,2.0,1,2.080571204833984,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,136.8,487.0150146484375,0.03752999782562256,1.3914714704241071
MSFT251128C00365000,2025-11-17 15:09:46+00:00,365.0,142.61,120.4,123.35,0.0,0.0,1.0,0,1.8701178369140625,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,121.875,487.0150146484375,0.03752999782562256,1.3342877113655822
MSFT251128C00380000,2025-11-24 15:58:48+00:00,380.0,94.76,105.45,108.35,0.0,0.0,1.0,2,1.6508806518554686,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,106.9,487.0150146484375,0.03752999782562256,1.2816184596011513
MSFT251128C00385000,2025-11-19 19:49:52+00:00,385.0,98.63,100.6,103.35,0.0,0.0,10.0,0,1.5791036669921872,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,101.975,487.0150146484375,0.03752999782562256,1.2649740640219156
MSFT251128C00390000,2025-11-19 19:49:52+00:00,390.0,93.59,95.4,98.35,0.0,0.0,51.0,0,1.5073266821289062,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,96.875,487.0150146484375,0.03752999782562256,1.2487564478165065
MSFT251128C00395000,2025-11-24 17:55:06+00:00,395.0,80.1,90.4,93.5,0.0,0.0,1.0,1,1.4702174926757814,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,91.95,487.0150146484375,0.03752999782562256,1.2329494041732596
MSFT251128C00400000,2025-11-26 19:10:57+00:00,400.0,86.64,85.4,88.55,10.010002,13.062773,12.0,68,1.4086943627929687,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,86.975,487.0150146484375,0.03752999782562256,1.2175375366210937
MSFT251128C00405000,2025-10-15 17:02:11+00:00,405.0,110.14,69.2,71.35,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,70.275,487.0150146484375,0.03752999782562256,1.2025062090084877
MSFT251128C00410000,2025-11-25 14:33:23+00:00,410.0,62.0,75.45,78.45,0.0,0.0,1.0,3,1.2465857983398436,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,76.95,487.0150146484375,0.03752999782562256,1.1878414991425306
