contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType,expiration,daysToExpiration,T,midPrice,S,r,moneyness
NVDA251128C00050000,2025-11-26 16:38:20+00:00,50.0,131.16,129.35,131.45,3.8600006,3.0322077,8.0,32.0,6.04687744140625,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,130.39999999999998,180.23500061035156,0.03752999782562256,3.604700012207031
NVDA251128C00055000,2025-11-26 19:55:05+00:00,55.0,125.18,124.4,126.45,6.0599976,5.0873046,1.0,35.0,5.7187528515625,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,125.42500000000001,180.23500061035156,0.03752999782562256,3.277000011097301
NVDA251128C00060000,2025-11-26 16:18:26+00:00,60.0,120.4,119.3,121.5,6.810005,5.9952507,5.0,54.0,5.2265659667968745,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,120.4,180.23500061035156,0.03752999782562256,3.0039166768391925
NVDA251128C00065000,2025-11-26 15:55:37+00:00,65.0,115.2,114.35,116.5,3.4799957,3.1149263,5.0,19.0,4.95312880859375,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,115.425,180.23500061035156,0.03752999782562256,2.772846163236178
NVDA251128C00070000,2025-11-26 15:48:07+00:00,70.0,110.15,109.3,111.5,3.9000015,3.6705897,3.0,59.0,4.5312543359375,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,110.4,180.23500061035156,0.03752999782562256,2.5747857230050224
NVDA251128C00075000,2025-11-26 15:48:07+00:00,75.0,105.2,104.35,106.5,3.119995,3.0564215,6.0,104.0,4.300785874023436,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,105.425,180.23500061035156,0.03752999782562256,2.4031333414713543
NVDA251128C00080000,2025-11-26 19:54:04+00:00,80.0,100.39,99.4,101.5,3.0299988,3.1121597,3.0,34.0,4.0781299023437505,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,100.45,180.23500061035156,0.03752999782562256,2.2529375076293947
NVDA251128C00085000,2025-11-26 19:48:43+00:00,85.0,95.47,94.1,96.5,3.050003,3.300155,5.0,42.0,3.2656268359375,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,95.3,180.23500061035156,0.03752999782562256,2.1204117718864888
NVDA251128C00090000,2025-11-26 19:50:03+00:00,90.0,90.0,89.1,91.5,5.8700027,6.9773,3.0,45.0,3.031252421875,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,90.3,180.23500061035156,0.03752999782562256,2.002611117892795
NVDA251128C00095000,2025-11-26 14:36:37+00:00,95.0,87.53,84.35,86.5,7.8899994,9.907082,1.0,84.0,3.2226581933593748,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,85.425,180.23500061035156,0.03752999782562256,1.8972105327405429
NVDA251128C00100000,2025-11-26 19:53:15+00:00,100.0,80.18,79.45,81.55,3.9000015,5.112745,18.0,95.0,3.1367209082031247,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,80.5,180.23500061035156,0.03752999782562256,1.8023500061035156
NVDA251128C00105000,2025-11-26 20:07:07+00:00,105.0,75.38,74.25,76.5,9.579994,14.55926,10.0,185.0,2.6484408789062504,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,75.375,180.23500061035156,0.03752999782562256,1.7165238153366815
NVDA251128C00110000,2025-11-26 20:15:31+00:00,110.0,70.42,69.75,71.05,4.619995,7.021269,69.0,236.0,2.50000375,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,70.4,180.23500061035156,0.03752999782562256,1.6385000055486505
NVDA251128C00115000,2025-11-26 19:59:07+00:00,115.0,65.24,64.1,66.5,4.3499985,7.1440277,72.0,125.0,2.03906740234375,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,65.3,180.23500061035156,0.03752999782562256,1.5672608748726222
NVDA251128C00120000,2025-11-26 20:12:33+00:00,120.0,60.7,60.15,61.25,3.7000008,6.491229,37.0,426.0,2.486331909179688,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,60.7,180.23500061035156,0.03752999782562256,1.5019583384195963
NVDA251128C00125000,2025-11-26 19:02:39+00:00,125.0,55.16,54.95,56.2,3.3499985,6.46593,13.0,55.0,2.14844212890625,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,55.575,180.23500061035156,0.03752999782562256,1.4418800048828124
NVDA251128C00130000,2025-11-26 16:54:15+00:00,130.0,51.46,50.2,51.3,6.799999,15.226151,2.0,311.0,2.1035203662109367,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,50.75,180.23500061035156,0.03752999782562256,1.386423081618089
NVDA251128C00135000,2025-11-26 19:01:50+00:00,135.0,45.77,44.5,46.4,6.4799995,16.492744,20.0,133.0,1.625001875,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,45.45,180.23500061035156,0.03752999782562256,1.3350740785951967
NVDA251128C00140000,2025-11-26 20:13:52+00:00,140.0,40.6,40.55,40.65,3.8499985,10.476187,160.0,544.0,1.5878926855468747,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,40.599999999999994,180.23500061035156,0.03752999782562256,1.2873928615025112
NVDA251128C00141000,2025-11-26 19:55:43+00:00,141.0,39.05,39.55,39.65,6.75,20.897833,5.0,72.0,1.5507834960937497,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,39.599999999999994,180.23500061035156,0.03752999782562256,1.2782624156762523
NVDA251128C00142000,2025-11-26 20:11:40+00:00,142.0,38.55,38.6,38.7,5.34,16.079494,2.0,52.0,1.5507834960937497,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,38.650000000000006,180.23500061035156,0.03752999782562256,1.2692605676785322
NVDA251128C00143000,2025-11-26 19:16:16+00:00,143.0,37.45,37.55,37.65,2.75,7.9250717,3.0,46.0,1.4765651171875,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,37.599999999999994,180.23500061035156,0.03752999782562256,1.2603846196528081
NVDA251128C00144000,2025-11-25 19:07:59+00:00,144.0,31.9,36.55,36.65,0.0,0.0,19.0,131.0,1.439455927734375,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,36.599999999999994,180.23500061035156,0.03752999782562256,1.251631948682997
NVDA251128C00145000,2025-11-26 19:47:59+00:00,145.0,35.3,35.6,35.7,2.4500008,7.4581456,69.0,349.0,1.4375028125,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,35.650000000000006,180.23500061035156,0.03752999782562256,1.2430000042093212
