contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType,expiration,daysToExpiration,T,midPrice,S,r,moneyness
SPY251128C00350000,2025-11-25 19:58:05+00:00,350.0,324.06,329.91,332.91,0.0,0.0,6.0,3,3.1308615478515627,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,331.41,680.9688720703125,0.03752999782562256,1.9456253487723214
SPY251128C00360000,2025-11-25 20:02:48+00:00,360.0,314.44,320.2,322.91,0.0,0.0,2.0,0,3.123049067382812,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,321.555,680.9688720703125,0.03752999782562256,1.8915802001953126
SPY251128C00375000,2025-11-21 16:00:22+00:00,375.0,278.42,305.25,307.92,0.0,0.0,75.0,75,2.9599635375976563,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,306.58500000000004,680.9688720703125,0.03752999782562256,1.8159169921875
SPY251128C00390000,2025-11-05 16:13:27+00:00,390.0,288.0,290.21,292.92,0.0,0.0,1.0,25,2.7705108862304693,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,291.565,680.9688720703125,0.03752999782562256,1.7460740309495193
SPY251128C00395000,2025-09-26 19:59:10+00:00,395.0,270.24,0.0,0.0,0.0,0.0,50.0,29,1.0000000000000003e-05,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,270.24,680.9688720703125,0.03752999782562256,1.7239718280261076
SPY251128C00400000,2025-11-25 19:58:05+00:00,400.0,274.14,280.14,282.89,0.0,0.0,6.0,14,2.6250034375,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,281.515,680.9688720703125,0.03752999782562256,1.7024221801757813
SPY251128C00405000,2025-09-26 13:44:17+00:00,405.0,259.53,0.0,0.0,0.0,0.0,2.0,1,1.0000000000000003e-05,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,259.53,680.9688720703125,0.03752999782562256,1.6814046223958334
SPY251128C00410000,2025-11-25 20:01:33+00:00,410.0,264.34,270.26,272.93,0.0,0.0,2.0,14,2.5634801538085936,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,271.595,680.9688720703125,0.03752999782562256,1.660899687976372
SPY251128C00415000,2025-11-24 14:37:09+00:00,415.0,250.4,266.65,266.73,0.0,0.0,1.0,298,2.5585973535156246,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,266.69,680.9688720703125,0.03752999782562256,1.6408888483621988
SPY251128C00420000,2025-11-24 19:11:06+00:00,420.0,249.97,260.26,262.93,0.0,0.0,2.0,13,2.454105427246094,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,261.595,680.9688720703125,0.03752999782562256,1.6213544573102678
SPY251128C00425000,2025-11-20 15:23:33+00:00,425.0,250.29,255.13,257.93,0.0,0.0,3.0,17,2.3632853417968747,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,256.53,680.9688720703125,0.03752999782562256,1.6022796989889705
SPY251128C00430000,2025-11-20 14:43:59+00:00,430.0,244.58,250.21,252.93,0.0,0.0,5.0,61,2.3330119799804683,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,251.57,680.9688720703125,0.03752999782562256,1.5836485396984012
SPY251128C00435000,2025-11-18 16:52:26+00:00,435.0,226.98,245.28,247.94,0.0,0.0,2.0,71,2.301762058105468,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,246.61,680.9688720703125,0.03752999782562256,1.5654456829202585
SPY251128C00440000,2025-11-11 15:30:00+00:00,440.0,240.39,241.46,241.68,0.0,0.0,2.0,115,2.2285200537109366,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,241.57,680.9688720703125,0.03752999782562256,1.5476565274325285
SPY251128C00445000,2025-11-19 18:49:46+00:00,445.0,216.65,234.95,237.94,0.0,0.0,1.0,8,2.108403166503906,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,236.445,680.9688720703125,0.03752999782562256,1.5302671282478932
SPY251128C00450000,2025-11-26 15:38:24+00:00,450.0,229.14,231.5,231.73,9.869995,4.5012975,12.0,129,2.14844212890625,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,231.615,680.9688720703125,0.03752999782562256,1.51326416015625
SPY251128C00455000,2025-10-01 19:31:21+00:00,455.0,217.67,216.5,219.18,0.0,0.0,2.0,25,1.0000000000000003e-05,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,217.84,680.9688720703125,0.03752999782562256,1.4966348836710164
SPY251128C00460000,2025-11-25 20:02:48+00:00,460.0,214.49,220.19,222.95,0.0,0.0,2.0,63,2.026372121582031,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,221.57,680.9688720703125,0.03752999782562256,1.4803671131963316
