contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType,expiration,daysToExpiration,T,midPrice,S,r,moneyness
TSLA251128C00080000,2025-11-26 20:07:11+00:00,80.0,343.87,343.95,345.2,10.519989,3.155839,21.0,28,7.82812521484375,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,344.575,424.9150085449219,0.03752999782562256,5.311437606811523
TSLA251128C00090000,2025-11-26 19:41:16+00:00,90.0,335.05,333.95,335.2,8.22998,2.5181997,34.0,15,7.2812508984375,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,334.575,424.9150085449219,0.03752999782562256,4.7212778727213545
TSLA251128C00100000,2025-11-26 20:15:35+00:00,100.0,324.96,323.95,326.2,8.369995,2.6437964,15.0,16,6.48437689453125,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,325.075,424.9150085449219,0.03752999782562256,4.249150085449219
TSLA251128C00110000,2025-11-07 15:02:15+00:00,110.0,321.0,313.95,316.35,0.0,0.0,1.0,0,6.253908432617187,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,315.15,424.9150085449219,0.03752999782562256,3.862863714044744
TSLA251128C00120000,2025-11-26 14:31:54+00:00,120.0,303.1,303.95,306.2,6.0200195,2.0263968,1.0,9,5.691409135742187,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,305.075,424.9150085449219,0.03752999782562256,3.5409584045410156
TSLA251128C00140000,2025-11-25 19:32:07+00:00,140.0,276.75,284.0,286.2,0.0,0.0,10.0,7,5.07812865234375,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,285.1,424.9150085449219,0.03752999782562256,3.035107203892299
TSLA251128C00150000,2025-11-25 14:48:57+00:00,150.0,258.35,274.0,276.2,0.0,0.0,2.0,4,4.7812540234375,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,275.1,424.9150085449219,0.03752999782562256,2.8327667236328127
TSLA251128C00160000,2025-11-24 18:11:20+00:00,160.0,259.46,264.0,266.25,0.0,0.0,11.0,12,4.546879316406249,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,265.125,424.9150085449219,0.03752999782562256,2.6557188034057617
TSLA251128C00170000,2025-11-24 20:01:05+00:00,170.0,247.74,254.0,256.2,0.0,0.0,7.0,7,4.238285952148438,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,255.1,424.9150085449219,0.03752999782562256,2.4995000502642464
TSLA251128C00180000,2025-11-26 16:22:27+00:00,180.0,240.93,244.0,246.25,1.7899933,0.7485127,29.0,236,4.0312549609375,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,245.125,424.9150085449219,0.03752999782562256,2.3606389363606772
TSLA251128C00190000,2025-11-24 15:00:30+00:00,190.0,222.27,234.0,236.2,0.0,0.0,4.0,6,3.7539068652343754,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,235.1,424.9150085449219,0.03752999782562256,2.2363947818153784
TSLA251128C00200000,2025-11-26 20:04:05+00:00,200.0,224.81,224.8,225.75,8.160004,3.7664454,10.0,55,3.7578131054687502,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,225.275,424.9150085449219,0.03752999782562256,2.1245750427246093
TSLA251128C00210000,2025-11-26 16:20:26+00:00,210.0,210.12,213.85,216.25,4.7899933,2.3328269,2.0,4,3.2421893945312497,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,215.05,424.9150085449219,0.03752999782562256,2.023404802594866
TSLA251128C00220000,2025-11-26 15:00:14+00:00,220.0,197.06,203.85,206.25,1.3300018,0.67950845,1.0,28,3.0468773828125,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,205.05,424.9150085449219,0.03752999782562256,1.931431857022372
TSLA251128C00230000,2025-11-26 19:46:17+00:00,230.0,194.62,193.85,196.25,7.599991,4.0637317,2.0,119,2.8554716113281247,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,195.05,424.9150085449219,0.03752999782562256,1.8474565588909646
TSLA251128C00240000,2025-11-26 17:34:37+00:00,240.0,180.9,183.85,186.25,11.799988,6.978112,2.0,8,2.6757845605468753,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,185.05,424.9150085449219,0.03752999782562256,1.7704792022705078
TSLA251128C00250000,2025-11-26 19:03:21+00:00,250.0,173.33,174.0,176.45,5.850006,3.492958,8.0,47,2.6894564013671873,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,175.225,424.9150085449219,0.03752999782562256,1.6996600341796875
TSLA251128C00255000,2025-11-26 15:51:35+00:00,255.0,163.44,168.95,171.3,3.4400024,2.1500015,3.0,18,2.501956870117187,True,REGULAR,USD,call,2025-11-28,1,0.0027397260273972603,170.125,424.9150085449219,0.03752999782562256,1.6663333668428308
